Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82544385	78617	1223335	1185	79789963	71301	1531087	30144	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59803170	86268	1201949	719	48087059	50237	10514162	19790	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39087594	12877	1183988	190	37150839	11973	752767	12741	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	75614252	295734	1434218	2455	66243644	211435	7936390	22119	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8821001	14686	224283	82	8159338	7103	437380	1837	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	377196	1534	4264	9	334307	466	38625	142	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	266248319	489716	5272052	4640	239765856	352515	21210411	86773	34157	676	0	0	0	All	0	0	0	0.0	0.0	0
China	99142	59	4636	0	93470	36	1036	12	69	3	160000000	111163	1439323776	Asia	14518	310467	9	0.04	0.0	0
USA	50060500	78131	809574	411	39552467	41297	9698459	13780	149982	2426	762235227	2283673	333775983	North America	7	412	0	234.0	1.0	29057
India	34641561	8306	473537	211	34060774	6918	107250	8944	24755	338	647252850	462527	1399383625	Asia	40	2955	2	6.0	0.2	77
Brazil	22143091	4844	615674	68	21362553	3201	164864	8318	103126	2867	63776166	297023	214718105	South America	10	349	3	23.0	0.3	768
UK	10463780	43789	145605	54	9220626	32495	1097549	895	152989	2129	368154460	5382724	68395562	Europe	7	470	0	640.0	0.8	16047
Russia	9801613	32602	281278	1206	8502406	30593	1017929	2300	67123	1926	228000000	1561388	146023904	Europe	15	519	1	223.0	8.0	6971
