Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82124324	88443	1213907	1267	79414310	92734	1496107	29099	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59149839	127133	1194167	1783	47725793	115203	10229879	19375	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	38987870	19276	1182059	478	37072021	25210	733790	12690	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	73690740	364278	1415368	4440	64883964	255979	7391408	21533	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8735588	10497	223666	146	8128375	5665	383547	1842	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	368475	2035	4212	11	329024	183	35239	161	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	263057557	611662	5233394	8125	237554193	494974	20269970	84700	33748	671	0	0	0	All	0	0	0	0.0	0.0	0
China	98711	39	4636	0	93285	36	790	7	69	3	160000000	111163	1439323776	Asia	14581	310467	9	0.03	0.0	0
USA	49452681	120999	803371	1650	39236734	105895	9412576	13201	148173	2407	754081369	2259423	333749517	North America	7	415	0	363.0	5.0	28203
India	34596776	8954	469247	267	34018299	10116	109230	8944	24726	335	641303848	458337	1399198423	Asia	40	2982	2	6.0	0.2	78
Brazil	22094459	9710	614754	326	21321631	17516	158074	8318	102910	2863	63776166	297051	214697495	South America	10	349	3	45.0	2.0	736
UK	10227633	39336	144969	159	9062561	36788	1020103	916	149547	2120	362531048	5300882	68390701	Europe	7	472	0	575.0	2.0	14916
Russia	9636881	32648	275193	1229	8329253	33442	1032435	2300	65996	1885	224900000	1540168	146023052	Europe	15	531	1	224.0	8.0	7070
